Date,Time,TargetTemp,ActualTemp,System,SystemAge,BuildingID
6/1/13,0:00:01,66,58,13,20,4
6/2/13,1:00:01,69,68,3,20,17
6/3/13,2:00:01,70,73,17,20,18
6/4/13,3:00:01,67,63,2,23,15
6/5/13,4:00:01,68,74,16,9,3
6/6/13,5:00:01,67,56,13,28,4
6/7/13,6:00:01,70,58,12,24,2
6/8/13,7:00:01,70,73,20,26,16
6/9/13,8:00:01,66,69,16,9,9
6/10/13,9:00:01,65,57,6,5,12
6/11/13,10:00:01,67,70,10,17,15
6/12/13,11:00:01,69,62,2,11,7
6/13/13,12:00:01,69,73,14,2,15
6/14/13,13:00:01,65,61,3,2,6
6/15/13,14:00:01,67,59,19,22,20
6/16/13,15:00:01,65,56,19,11,8
6/17/13,16:00:01,67,57,15,7,6
6/18/13,17:00:01,66,57,12,5,13
6/19/13,18:00:01,69,58,8,22,4
6/20/13,19:00:01,67,55,17,5,7
6/21/13,20:00:01,69,72,7,5,17
6/22/13,21:00:01,66,69,6,29,9
6/23/13,22:00:01,67,65,6,18,20
6/24/13,23:00:01,67,61,15,13,6
6/25/13,0:13:19,70,71,19,14,18
6/26/13,1:13:19,67,71,1,6,8
6/27/13,2:13:19,69,68,16,14,14
6/28/13,3:13:19,65,56,8,18,15
6/29/13,4:13:19,66,77,7,6,13
6/30/13,5:13:19,70,63,7,13,5
6/1/13,6:13:19,68,66,11,15,3
6/2/13,7:13:19,69,60,14,1,18
6/3/13,8:13:19,66,65,14,18,11
6/4/13,9:13:19,67,69,1,5,9
6/5/13,10:13:19,70,78,5,5,10
6/6/13,11:13:19,67,72,16,8,19
6/7/13,12:13:19,67,73,17,30,2
6/8/13,13:13:19,65,75,4,13,10
6/9/13,14:13:19,67,68,2,17,2
6/10/13,15:13:19,65,77,15,17,6
6/11/13,16:13:19,66,67,16,24,3
6/12/13,17:13:19,69,64,18,25,2
6/13/13,18:13:19,67,68,2,14,1
6/14/13,19:13:19,68,75,9,22,5
6/15/13,20:13:19,69,58,9,6,4
6/16/13,21:13:19,69,77,19,20,9
6/17/13,22:13:19,67,73,2,4,2
6/18/13,23:13:19,66,75,1,13,12
6/19/13,0:43:51,70,65,11,9,5
6/20/13,1:43:51,69,65,7,30,2
6/21/13,2:43:51,66,56,16,28,14
6/22/13,3:43:51,69,67,3,4,9
6/23/13,4:43:51,70,68,2,12,6
6/24/13,5:43:51,70,63,15,30,20
6/25/13,6:43:51,65,63,11,13,17
6/26/13,7:43:51,67,78,13,22,18
6/27/13,8:43:51,68,61,15,28,7
6/28/13,9:43:51,66,65,4,24,2
6/29/13,10:43:51,69,59,17,25,9
6/30/13,11:43:51,68,67,8,17,6
6/1/13,12:43:51,69,79,6,15,7
6/2/13,13:43:51,65,72,20,26,12
6/3/13,14:43:51,65,57,3,24,18
6/4/13,15:43:51,66,56,20,25,6
6/5/13,16:43:51,65,71,2,14,9
6/6/13,17:43:51,67,79,1,9,10
6/7/13,18:43:51,67,72,13,29,15
6/8/13,19:43:51,69,76,11,25,11
6/9/13,20:43:51,65,67,6,21,16
6/10/13,21:43:51,67,74,3,19,14
6/11/13,22:43:51,68,76,9,28,2
6/12/13,23:43:51,68,69,7,26,20
6/13/13,0:13:20,67,77,8,19,12
